v_prime, v
6.0, 13.0
5.0, 12.0
4.0, 12.0
6.0, 16.0
8.0, 11.0
7.0, 12.0
8.0, 12.0
6.0, 13.0
6.0, 13.0
8.0, 12.0
6.0, 16.0
6.0, 16.0
7.0, 13.0
5.0, 12.0
8.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
8.0, 11.0
8.0, 12.0
7.0, 13.0
6.0, 13.0
8.0, 11.0
6.0, 11.0
5.0, 12.0
8.0, 11.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 16.0
6.0, 11.0
6.0, 11.0
6.0, 13.0
4.0, 12.0
6.0, 11.0
6.0, 16.0
6.0, 13.0
7.0, 13.0
8.0, 12.0
7.0, 13.0
5.0, 11.0
5.0, 11.0
6.0, 11.0
7.0, 13.0
6.0, 16.0
7.0, 12.0
4.0, 12.0
7.0, 13.0
7.0, 13.0
6.0, 16.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
6.0, 11.0
6.0, 16.0
7.0, 12.0
7.0, 13.0
7.0, 13.0
5.0, 12.0
5.0, 11.0
5.0, 12.0
6.0, 11.0
6.0, 16.0
8.0, 11.0
6.0, 16.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
5.0, 11.0
5.0, 11.0
7.0, 13.0
8.0, 11.0
7.0, 12.0
6.0, 13.0
6.0, 11.0
8.0, 11.0
7.0, 13.0
8.0, 12.0
6.0, 11.0
7.0, 12.0
4.0, 12.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
8.0, 12.0
6.0, 16.0
6.0, 16.0
7.0, 13.0
6.0, 13.0
5.0, 11.0
6.0, 16.0
5.0, 12.0
5.0, 11.0
7.0, 12.0
7.0, 12.0
6.0, 16.0
5.0, 12.0
5.0, 12.0
6.0, 13.0
6.0, 11.0
5.0, 11.0
8.0, 12.0
7.0, 13.0
6.0, 11.0
7.0, 12.0
8.0, 11.0
4.0, 12.0
7.0, 13.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
5.0, 11.0
8.0, 12.0
6.0, 13.0
8.0, 12.0
8.0, 12.0
6.0, 13.0
8.0, 11.0
7.0, 12.0
7.0, 13.0
7.0, 13.0
5.0, 12.0
6.0, 13.0
4.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
5.0, 11.0
8.0, 12.0
4.0, 12.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
6.0, 13.0
7.0, 12.0
6.0, 11.0
7.0, 13.0
6.0, 13.0
5.0, 11.0
6.0, 11.0
6.0, 13.0
5.0, 11.0
4.0, 12.0
6.0, 11.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 11.0
7.0, 12.0
7.0, 13.0
6.0, 16.0
6.0, 16.0
5.0, 12.0
7.0, 12.0
5.0, 11.0
6.0, 13.0
7.0, 13.0
7.0, 13.0
5.0, 12.0
8.0, 12.0
7.0, 12.0
6.0, 11.0
6.0, 16.0
5.0, 12.0
7.0, 13.0
8.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
6.0, 16.0
7.0, 13.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 11.0
8.0, 11.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
8.0, 12.0
7.0, 12.0
6.0, 13.0
8.0, 11.0
6.0, 16.0
8.0, 12.0
7.0, 13.0
8.0, 11.0
6.0, 13.0
7.0, 13.0
8.0, 11.0
6.0, 11.0
6.0, 13.0
7.0, 12.0
8.0, 12.0
8.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
7.0, 12.0
5.0, 11.0
8.0, 11.0
7.0, 13.0
8.0, 11.0
6.0, 11.0
8.0, 12.0
7.0, 12.0
6.0, 13.0
5.0, 11.0
6.0, 11.0
5.0, 12.0
8.0, 11.0
5.0, 11.0
7.0, 12.0
8.0, 11.0
7.0, 12.0
7.0, 12.0
7.0, 12.0
5.0, 12.0
7.0, 12.0
7.0, 13.0
6.0, 16.0
6.0, 11.0
4.0, 12.0
7.0, 13.0
8.0, 12.0
5.0, 12.0
6.0, 13.0
7.0, 13.0
6.0, 11.0
6.0, 16.0
5.0, 11.0
5.0, 11.0
7.0, 12.0
7.0, 13.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
7.0, 12.0
5.0, 11.0
6.0, 16.0
4.0, 12.0
6.0, 11.0
8.0, 11.0
4.0, 12.0
6.0, 13.0
7.0, 12.0
7.0, 12.0
5.0, 11.0
7.0, 13.0
8.0, 12.0
5.0, 11.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
8.0, 12.0
7.0, 13.0
6.0, 13.0
5.0, 12.0
4.0, 12.0
8.0, 12.0
8.0, 11.0
6.0, 13.0
7.0, 12.0
4.0, 12.0
5.0, 12.0
8.0, 12.0
6.0, 16.0
7.0, 12.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
4.0, 12.0
6.0, 11.0
6.0, 16.0
7.0, 13.0
8.0, 12.0
7.0, 13.0
6.0, 16.0
7.0, 13.0
6.0, 11.0
7.0, 13.0
8.0, 11.0
5.0, 11.0
6.0, 13.0
7.0, 12.0
5.0, 11.0
6.0, 11.0
5.0, 11.0
6.0, 13.0
8.0, 12.0
8.0, 12.0
7.0, 13.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
6.0, 11.0
6.0, 13.0
5.0, 11.0
6.0, 13.0
6.0, 11.0
6.0, 11.0
5.0, 12.0
5.0, 12.0
8.0, 12.0
5.0, 11.0
4.0, 12.0
7.0, 12.0
8.0, 12.0
8.0, 12.0
6.0, 11.0
4.0, 12.0
5.0, 11.0
8.0, 11.0
7.0, 12.0
6.0, 13.0
6.0, 11.0
6.0, 13.0
6.0, 13.0
7.0, 12.0
6.0, 13.0
5.0, 12.0
8.0, 12.0
6.0, 13.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
8.0, 12.0
6.0, 13.0
8.0, 11.0
6.0, 16.0
7.0, 12.0
5.0, 12.0
7.0, 13.0
8.0, 12.0
5.0, 12.0
6.0, 11.0
7.0, 12.0
4.0, 12.0
6.0, 13.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
7.0, 13.0
7.0, 13.0
6.0, 11.0
6.0, 11.0
7.0, 13.0
5.0, 11.0
6.0, 13.0
5.0, 11.0
5.0, 12.0
6.0, 16.0
6.0, 13.0
8.0, 11.0
5.0, 12.0
6.0, 16.0
5.0, 12.0
7.0, 12.0
5.0, 11.0
6.0, 16.0
8.0, 12.0
6.0, 11.0
6.0, 11.0
4.0, 12.0
6.0, 16.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
6.0, 13.0
7.0, 13.0
8.0, 11.0
6.0, 11.0
6.0, 16.0
5.0, 12.0
6.0, 16.0
7.0, 12.0
6.0, 13.0
5.0, 12.0
6.0, 13.0
6.0, 11.0
4.0, 12.0
6.0, 13.0
7.0, 13.0
8.0, 12.0
7.0, 12.0
5.0, 11.0
5.0, 11.0
7.0, 12.0
5.0, 11.0
5.0, 12.0
8.0, 12.0
8.0, 12.0
6.0, 16.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 13.0
5.0, 11.0
7.0, 13.0
7.0, 13.0
8.0, 11.0
7.0, 12.0
6.0, 11.0
7.0, 13.0
6.0, 16.0
6.0, 11.0
8.0, 12.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
8.0, 12.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
6.0, 11.0
6.0, 11.0
6.0, 13.0
7.0, 12.0
5.0, 11.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
6.0, 11.0
5.0, 12.0
6.0, 11.0
4.0, 12.0
8.0, 12.0
6.0, 13.0
6.0, 11.0
6.0, 13.0
6.0, 11.0
6.0, 11.0
6.0, 11.0
6.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
5.0, 12.0
7.0, 12.0
8.0, 11.0
4.0, 12.0
7.0, 13.0
7.0, 13.0
4.0, 12.0
5.0, 12.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 13.0
6.0, 13.0
6.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 13.0
8.0, 12.0
7.0, 13.0
8.0, 12.0
7.0, 12.0
4.0, 12.0
5.0, 11.0
6.0, 16.0
5.0, 12.0
7.0, 13.0
4.0, 12.0
6.0, 13.0
5.0, 12.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
6.0, 16.0
8.0, 11.0
5.0, 11.0
7.0, 13.0
7.0, 12.0
5.0, 12.0
5.0, 11.0
6.0, 13.0
6.0, 16.0
8.0, 11.0
6.0, 13.0
5.0, 12.0
5.0, 11.0
6.0, 13.0
6.0, 16.0
5.0, 11.0
6.0, 11.0
6.0, 16.0
7.0, 12.0
7.0, 12.0
8.0, 11.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
5.0, 11.0
7.0, 12.0
6.0, 16.0
4.0, 12.0
5.0, 11.0
5.0, 11.0
8.0, 11.0
7.0, 13.0
8.0, 12.0
6.0, 16.0
7.0, 13.0
7.0, 13.0
6.0, 11.0
6.0, 13.0
7.0, 12.0
6.0, 13.0
6.0, 16.0
5.0, 11.0
4.0, 12.0
6.0, 16.0
5.0, 12.0
5.0, 12.0
6.0, 13.0
7.0, 12.0
7.0, 12.0
8.0, 11.0
8.0, 12.0
6.0, 16.0
6.0, 11.0
6.0, 11.0
5.0, 12.0
4.0, 12.0
7.0, 12.0
5.0, 11.0
6.0, 13.0
8.0, 11.0
5.0, 11.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
8.0, 12.0
7.0, 13.0
6.0, 11.0
6.0, 11.0
6.0, 16.0
7.0, 12.0
7.0, 13.0
5.0, 11.0
6.0, 13.0
5.0, 12.0
7.0, 12.0
6.0, 16.0
6.0, 11.0
5.0, 12.0
6.0, 11.0
5.0, 11.0
7.0, 13.0
4.0, 12.0
6.0, 11.0
4.0, 12.0
6.0, 16.0
7.0, 13.0
6.0, 13.0
6.0, 16.0
6.0, 16.0
6.0, 13.0
7.0, 13.0
4.0, 12.0
8.0, 12.0
5.0, 11.0
7.0, 13.0
7.0, 13.0
6.0, 16.0
5.0, 11.0
7.0, 12.0
7.0, 13.0
6.0, 16.0
6.0, 13.0
8.0, 11.0
8.0, 12.0
4.0, 12.0
7.0, 12.0
5.0, 11.0
5.0, 12.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
5.0, 11.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 13.0
8.0, 12.0
4.0, 12.0
7.0, 12.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
6.0, 13.0
5.0, 11.0
7.0, 12.0
8.0, 11.0
5.0, 12.0
7.0, 13.0
6.0, 16.0
7.0, 12.0
7.0, 12.0
6.0, 16.0
8.0, 11.0
6.0, 13.0
7.0, 12.0
6.0, 16.0
4.0, 12.0
4.0, 12.0
7.0, 12.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
6.0, 16.0
6.0, 13.0
6.0, 16.0
6.0, 16.0
8.0, 12.0
8.0, 12.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
4.0, 12.0
7.0, 13.0
8.0, 12.0
6.0, 13.0
7.0, 13.0
5.0, 12.0
6.0, 16.0
5.0, 11.0
4.0, 12.0
8.0, 12.0
6.0, 16.0
7.0, 13.0
5.0, 11.0
4.0, 12.0
7.0, 12.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 16.0
5.0, 12.0
4.0, 12.0
6.0, 13.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
6.0, 11.0
7.0, 13.0
4.0, 12.0
6.0, 11.0
4.0, 12.0
8.0, 11.0
6.0, 11.0
5.0, 11.0
7.0, 13.0
5.0, 11.0
6.0, 13.0
4.0, 12.0
7.0, 12.0
6.0, 16.0
7.0, 12.0
6.0, 11.0
4.0, 12.0
8.0, 11.0
5.0, 11.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
7.0, 12.0
5.0, 11.0
6.0, 16.0
6.0, 13.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
6.0, 13.0
6.0, 16.0
5.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 16.0
7.0, 12.0
6.0, 16.0
6.0, 13.0
8.0, 12.0
6.0, 11.0
6.0, 11.0
7.0, 13.0
6.0, 11.0
6.0, 16.0
7.0, 13.0
6.0, 13.0
5.0, 11.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
6.0, 13.0
7.0, 13.0
7.0, 12.0
6.0, 16.0
8.0, 11.0
7.0, 13.0
6.0, 16.0
5.0, 11.0
6.0, 16.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
6.0, 11.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
5.0, 11.0
6.0, 11.0
5.0, 12.0
6.0, 11.0
6.0, 13.0
8.0, 11.0
5.0, 12.0
7.0, 13.0
6.0, 16.0
5.0, 12.0
6.0, 16.0
7.0, 13.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
7.0, 13.0
6.0, 11.0
6.0, 13.0
6.0, 16.0
6.0, 11.0
6.0, 16.0
7.0, 12.0
5.0, 12.0
7.0, 13.0
5.0, 11.0
8.0, 12.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
4.0, 12.0
7.0, 13.0
7.0, 13.0
6.0, 16.0
5.0, 11.0
7.0, 13.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 11.0
7.0, 12.0
7.0, 13.0
8.0, 11.0
6.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
6.0, 11.0
6.0, 11.0
6.0, 16.0
8.0, 12.0
6.0, 13.0
6.0, 11.0
7.0, 13.0
5.0, 11.0
8.0, 12.0
7.0, 13.0
5.0, 12.0
6.0, 13.0
7.0, 13.0
5.0, 11.0
7.0, 12.0
8.0, 11.0
6.0, 11.0
6.0, 16.0
4.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 16.0
5.0, 11.0
7.0, 12.0
5.0, 12.0
6.0, 16.0
6.0, 13.0
7.0, 13.0
5.0, 12.0
7.0, 13.0
8.0, 11.0
7.0, 13.0
6.0, 16.0
7.0, 13.0
5.0, 11.0
7.0, 12.0
7.0, 12.0
6.0, 16.0
8.0, 12.0
6.0, 16.0
8.0, 12.0
5.0, 12.0
6.0, 16.0
6.0, 11.0
6.0, 11.0
7.0, 13.0
6.0, 11.0
5.0, 12.0
8.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 11.0
7.0, 13.0
7.0, 12.0
8.0, 12.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 12.0
7.0, 13.0
6.0, 11.0
6.0, 13.0
7.0, 12.0
8.0, 12.0
7.0, 13.0
6.0, 11.0
5.0, 11.0
7.0, 13.0
5.0, 11.0
8.0, 12.0
7.0, 13.0
7.0, 13.0
7.0, 12.0
6.0, 16.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
6.0, 16.0
4.0, 12.0
6.0, 16.0
5.0, 11.0
7.0, 12.0
6.0, 16.0
5.0, 12.0
4.0, 12.0
7.0, 13.0
7.0, 13.0
6.0, 13.0
6.0, 13.0
8.0, 12.0
6.0, 11.0
7.0, 12.0
5.0, 11.0
6.0, 11.0
7.0, 13.0
8.0, 11.0
8.0, 12.0
6.0, 11.0
7.0, 13.0
5.0, 11.0
4.0, 12.0
7.0, 13.0
7.0, 12.0
7.0, 13.0
7.0, 12.0
4.0, 12.0
6.0, 13.0
4.0, 12.0
7.0, 13.0
8.0, 12.0
6.0, 16.0
6.0, 13.0
6.0, 11.0
6.0, 13.0
8.0, 11.0
7.0, 12.0
4.0, 12.0
7.0, 12.0
7.0, 12.0
8.0, 11.0
8.0, 11.0
8.0, 12.0
6.0, 16.0
6.0, 16.0
7.0, 13.0
8.0, 12.0
7.0, 12.0
6.0, 16.0
5.0, 11.0
8.0, 12.0
7.0, 12.0
6.0, 16.0
7.0, 13.0
7.0, 12.0
6.0, 13.0
6.0, 13.0
7.0, 13.0
7.0, 13.0
4.0, 12.0
7.0, 13.0
4.0, 12.0
5.0, 12.0
6.0, 11.0
6.0, 11.0
5.0, 11.0
5.0, 11.0
6.0, 13.0
6.0, 13.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
5.0, 11.0
7.0, 12.0
8.0, 11.0
7.0, 13.0
7.0, 13.0
5.0, 12.0
6.0, 13.0
5.0, 12.0
4.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 11.0
5.0, 12.0
5.0, 11.0
7.0, 13.0
5.0, 12.0
6.0, 13.0
7.0, 13.0
4.0, 12.0
5.0, 12.0
7.0, 13.0
7.0, 13.0
7.0, 12.0
6.0, 13.0
5.0, 11.0
6.0, 11.0
6.0, 11.0
5.0, 11.0
7.0, 12.0
6.0, 16.0
7.0, 13.0
5.0, 11.0
6.0, 16.0
5.0, 12.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
6.0, 11.0
5.0, 11.0
6.0, 16.0
4.0, 12.0
6.0, 11.0
6.0, 11.0
8.0, 12.0
7.0, 12.0
8.0, 12.0
6.0, 13.0
7.0, 12.0
6.0, 11.0
6.0, 16.0
7.0, 12.0
4.0, 12.0
5.0, 12.0
5.0, 12.0
4.0, 12.0
7.0, 13.0
6.0, 13.0
7.0, 12.0
6.0, 16.0
5.0, 12.0
7.0, 12.0
7.0, 12.0
5.0, 11.0
7.0, 13.0
6.0, 11.0
8.0, 12.0
4.0, 12.0
7.0, 13.0
7.0, 13.0
5.0, 12.0
6.0, 13.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
8.0, 12.0
7.0, 12.0
8.0, 11.0
8.0, 11.0
5.0, 12.0
6.0, 16.0
8.0, 12.0
7.0, 13.0
8.0, 12.0
6.0, 11.0
5.0, 12.0
7.0, 13.0
8.0, 11.0
6.0, 13.0
7.0, 12.0
6.0, 16.0
4.0, 12.0
7.0, 12.0
7.0, 13.0
6.0, 16.0
4.0, 12.0
7.0, 12.0
4.0, 12.0
7.0, 12.0
6.0, 16.0
5.0, 11.0
7.0, 13.0
6.0, 16.0
6.0, 13.0
8.0, 11.0
6.0, 13.0
8.0, 12.0
5.0, 12.0
7.0, 12.0
6.0, 16.0
7.0, 13.0
7.0, 13.0
7.0, 13.0
6.0, 11.0
6.0, 13.0
4.0, 12.0
8.0, 11.0
7.0, 12.0
6.0, 13.0
7.0, 12.0
4.0, 12.0
4.0, 12.0
7.0, 13.0
6.0, 16.0
5.0, 11.0
7.0, 13.0
6.0, 16.0
7.0, 13.0
4.0, 12.0
7.0, 13.0
7.0, 12.0
6.0, 11.0
6.0, 13.0
6.0, 16.0
7.0, 13.0
7.0, 12.0
4.0, 12.0
6.0, 16.0
4.0, 12.0
7.0, 12.0
8.0, 12.0
5.0, 12.0
6.0, 16.0
8.0, 11.0
5.0, 12.0
8.0, 11.0
6.0, 13.0
7.0, 13.0
6.0, 11.0
5.0, 12.0
7.0, 12.0
6.0, 16.0
4.0, 12.0
6.0, 16.0
4.0, 12.0
8.0, 12.0
7.0, 13.0
5.0, 12.0
5.0, 12.0
6.0, 13.0
8.0, 11.0
6.0, 13.0
6.0, 16.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
6.0, 13.0
6.0, 13.0
6.0, 16.0
7.0, 13.0
6.0, 13.0
4.0, 12.0
7.0, 13.0
6.0, 16.0
7.0, 13.0
7.0, 13.0
4.0, 12.0
8.0, 12.0
8.0, 11.0
7.0, 13.0
4.0, 12.0
7.0, 12.0
5.0, 12.0
8.0, 12.0
6.0, 13.0
6.0, 16.0
7.0, 13.0
5.0, 11.0
8.0, 12.0
6.0, 11.0
6.0, 16.0
5.0, 11.0
7.0, 13.0
7.0, 13.0
7.0, 12.0
4.0, 12.0
6.0, 11.0
6.0, 16.0
6.0, 13.0
6.0, 13.0
6.0, 13.0
7.0, 13.0
6.0, 11.0
8.0, 11.0
6.0, 13.0
7.0, 12.0
7.0, 13.0
5.0, 11.0
4.0, 12.0
8.0, 12.0
7.0, 13.0
6.0, 11.0
7.0, 13.0
6.0, 11.0
8.0, 11.0
6.0, 13.0
7.0, 12.0
7.0, 12.0
6.0, 16.0
5.0, 11.0
8.0, 11.0
6.0, 13.0
8.0, 11.0
6.0, 16.0
6.0, 11.0
5.0, 12.0
6.0, 13.0
6.0, 11.0
4.0, 12.0
5.0, 12.0
8.0, 11.0
7.0, 12.0
5.0, 12.0
7.0, 13.0
8.0, 11.0
6.0, 13.0
5.0, 12.0
5.0, 11.0
7.0, 12.0
5.0, 12.0
7.0, 12.0
8.0, 11.0
7.0, 13.0
6.0, 13.0
5.0, 12.0
8.0, 12.0
4.0, 12.0
6.0, 11.0
8.0, 11.0
7.0, 12.0
5.0, 11.0
5.0, 11.0
4.0, 12.0
6.0, 16.0
6.0, 11.0
6.0, 11.0
