v_prime, v
17.0, 27.0
11.0, 25.0
10.0, 29.0
10.0, 29.0
12.0, 31.0
14.0, 27.0
11.0, 31.0
9.0, 31.0
11.0, 30.0
6.0, 29.0
13.0, 27.0
15.0, 25.0
11.0, 29.0
17.0, 33.0
14.0, 29.0
21.0, 35.0
21.0, 27.0
10.0, 29.0
13.0, 29.0
11.0, 31.0
10.0, 30.0
12.0, 27.0
17.0, 25.0
10.0, 30.0
10.0, 29.0
13.0, 29.0
13.0, 30.0
20.0, 28.0
20.0, 27.0
9.0, 27.0
15.0, 27.0
13.0, 35.0
12.0, 30.0
15.0, 25.0
13.0, 30.0
19.0, 35.0
11.0, 29.0
9.0, 30.0
4.0, 31.0
9.0, 27.0
10.0, 26.0
11.0, 31.0
12.0, 28.0
12.0, 30.0
12.0, 26.0
9.0, 30.0
8.0, 28.0
12.0, 31.0
8.0, 31.0
11.0, 32.0
9.0, 30.0
18.0, 24.0
19.0, 27.0
21.0, 28.0
16.0, 26.0
9.0, 30.0
10.0, 28.0
11.0, 29.0
10.0, 29.0
14.0, 27.0
13.0, 30.0
6.0, 31.0
12.0, 29.0
14.0, 28.0
20.0, 35.0
11.0, 28.0
8.0, 30.0
9.0, 29.0
12.0, 29.0
9.0, 31.0
12.0, 28.0
19.0, 35.0
8.0, 31.0
13.0, 28.0
14.0, 30.0
11.0, 30.0
11.0, 31.0
8.0, 29.0
15.0, 28.0
9.0, 28.0
10.0, 28.0
12.0, 27.0
7.0, 30.0
12.0, 29.0
12.0, 30.0
17.0, 27.0
9.0, 28.0
16.0, 25.0
11.0, 30.0
8.0, 30.0
9.0, 31.0
15.0, 27.0
8.0, 29.0
13.0, 29.0
7.0, 30.0
14.0, 26.0
11.0, 27.0
11.0, 30.0
10.0, 31.0
14.0, 27.0
18.0, 35.0
7.0, 29.0
11.0, 30.0
8.0, 29.0
11.0, 30.0
11.0, 27.0
9.0, 28.0
11.0, 30.0
12.0, 27.0
12.0, 25.0
10.0, 30.0
9.0, 29.0
19.0, 26.0
15.0, 27.0
15.0, 25.0
13.0, 26.0
18.0, 26.0
19.0, 35.0
12.0, 26.0
8.0, 27.0
12.0, 29.0
11.0, 29.0
10.0, 30.0
7.0, 30.0
12.0, 29.0
8.0, 29.0
11.0, 28.0
7.0, 28.0
17.0, 23.0
7.0, 29.0
12.0, 30.0
10.0, 30.0
9.0, 30.0
10.0, 29.0
11.0, 28.0
9.0, 31.0
12.0, 29.0
12.0, 29.0
11.0, 30.0
10.0, 30.0
20.0, 35.0
2.0, 31.0
7.0, 29.0
13.0, 27.0
12.0, 25.0
12.0, 26.0
10.0, 27.0
13.0, 28.0
12.0, 24.0
8.0, 29.0
16.0, 35.0
6.0, 29.0
13.0, 27.0
13.0, 31.0
15.0, 27.0
11.0, 31.0
14.0, 28.0
17.0, 27.0
11.0, 30.0
16.0, 28.0
14.0, 27.0
18.0, 27.0
