v_prime, v
13.0, 32.0
14.0, 35.0
10.0, 34.0
11.0, 33.0
9.0, 35.0
11.0, 37.0
17.0, 35.0
15.0, 33.0
12.0, 34.0
7.0, 38.0
15.0, 32.0
12.0, 34.0
19.0, 33.0
20.0, 33.0
14.0, 35.0
10.0, 37.0
5.0, 42.0
14.0, 30.0
11.0, 33.0
11.0, 37.0
7.0, 34.0
11.0, 35.0
12.0, 34.0
9.0, 35.0
19.0, 33.0
14.0, 36.0
11.0, 35.0
9.0, 36.0
13.0, 34.0
21.0, 30.0
14.0, 33.0
11.0, 42.0
15.0, 35.0
16.0, 33.0
15.0, 33.0
15.0, 37.0
15.0, 31.0
10.0, 37.0
11.0, 35.0
11.0, 35.0
25.0, 23.0
12.0, 33.0
20.0, 37.0
13.0, 30.0
15.0, 35.0
13.0, 36.0
23.0, 25.0
21.0, 27.0
13.0, 41.0
5.0, 36.0
12.0, 34.0
15.0, 34.0
7.0, 38.0
9.0, 38.0
11.0, 28.0
14.0, 33.0
18.0, 33.0
13.0, 37.0
13.0, 35.0
13.0, 36.0
12.0, 34.0
13.0, 32.0
18.0, 31.0
10.0, 37.0
15.0, 36.0
14.0, 35.0
19.0, 24.0
12.0, 32.0
13.0, 32.0
17.0, 30.0
12.0, 34.0
10.0, 37.0
10.0, 36.0
14.0, 34.0
17.0, 33.0
16.0, 32.0
13.0, 34.0
6.0, 36.0
15.0, 34.0
12.0, 37.0
17.0, 31.0
12.0, 38.0
10.0, 37.0
18.0, 30.0
15.0, 36.0
18.0, 33.0
17.0, 34.0
10.0, 30.0
7.0, 36.0
9.0, 36.0
8.0, 37.0
17.0, 31.0
21.0, 33.0
9.0, 35.0
10.0, 38.0
9.0, 36.0
16.0, 31.0
13.0, 37.0
13.0, 37.0
11.0, 29.0
23.0, 38.0
9.0, 35.0
11.0, 35.0
19.0, 31.0
14.0, 34.0
11.0, 37.0
11.0, 37.0
6.0, 37.0
14.0, 32.0
14.0, 35.0
13.0, 37.0
14.0, 31.0
13.0, 39.0
14.0, 36.0
20.0, 30.0
15.0, 35.0
9.0, 36.0
18.0, 26.0
12.0, 36.0
16.0, 30.0
28.0, 42.0
8.0, 36.0
13.0, 31.0
13.0, 37.0
17.0, 29.0
13.0, 37.0
15.0, 36.0
18.0, 33.0
17.0, 30.0
23.0, 30.0
13.0, 35.0
13.0, 38.0
11.0, 38.0
8.0, 37.0
13.0, 33.0
10.0, 37.0
8.0, 38.0
12.0, 35.0
20.0, 32.0
15.0, 33.0
12.0, 31.0
5.0, 38.0
15.0, 35.0
12.0, 34.0
10.0, 33.0
14.0, 34.0
12.0, 36.0
14.0, 30.0
21.0, 30.0
14.0, 32.0
10.0, 38.0
19.0, 34.0
16.0, 34.0
11.0, 38.0
14.0, 38.0
8.0, 37.0
26.0, 32.0
12.0, 34.0
7.0, 36.0
13.0, 34.0
13.0, 38.0
16.0, 31.0
11.0, 33.0
14.0, 34.0
18.0, 31.0
14.0, 33.0
14.0, 34.0
20.0, 32.0
21.0, 36.0
26.0, 35.0
10.0, 38.0
11.0, 36.0
20.0, 34.0
16.0, 33.0
13.0, 35.0
29.0, 42.0
10.0, 38.0
19.0, 31.0
13.0, 32.0
25.0, 34.0
21.0, 34.0
14.0, 35.0
12.0, 36.0
12.0, 36.0
8.0, 35.0
12.0, 35.0
12.0, 33.0
19.0, 32.0
11.0, 38.0
18.0, 36.0
9.0, 37.0
8.0, 37.0
12.0, 36.0
14.0, 36.0
11.0, 38.0
13.0, 34.0
