v_prime, v
17.0, 30.0
13.0, 30.0
8.0, 33.0
12.0, 32.0
12.0, 34.0
18.0, 29.0
12.0, 33.0
13.0, 33.0
14.0, 32.0
10.0, 33.0
14.0, 28.0
16.0, 28.0
11.0, 33.0
19.0, 37.0
11.0, 33.0
19.0, 28.0
21.0, 31.0
14.0, 31.0
15.0, 34.0
9.0, 34.0
11.0, 33.0
18.0, 30.0
20.0, 26.0
9.0, 32.0
13.0, 31.0
15.0, 31.0
11.0, 34.0
19.0, 30.0
23.0, 30.0
15.0, 33.0
18.0, 31.0
27.0, 39.0
16.0, 35.0
17.0, 30.0
14.0, 33.0
25.0, 28.0
11.0, 34.0
12.0, 35.0
12.0, 34.0
4.0, 35.0
12.0, 33.0
11.0, 29.0
8.0, 39.0
11.0, 31.0
11.0, 31.0
6.0, 33.0
9.0, 35.0
12.0, 34.0
14.0, 34.0
9.0, 33.0
15.0, 27.0
19.0, 28.0
19.0, 31.0
16.0, 29.0
14.0, 30.0
12.0, 31.0
14.0, 32.0
12.0, 33.0
13.0, 33.0
13.0, 32.0
10.0, 34.0
13.0, 30.0
11.0, 33.0
17.0, 34.0
16.0, 33.0
7.0, 36.0
15.0, 33.0
10.0, 34.0
17.0, 31.0
19.0, 31.0
8.0, 34.0
15.0, 31.0
18.0, 33.0
15.0, 31.0
16.0, 35.0
15.0, 33.0
17.0, 32.0
8.0, 31.0
16.0, 31.0
13.0, 32.0
6.0, 35.0
9.0, 33.0
10.0, 34.0
19.0, 28.0
9.0, 33.0
13.0, 30.0
11.0, 36.0
13.0, 34.0
13.0, 32.0
15.0, 31.0
15.0, 32.0
5.0, 34.0
17.0, 32.0
11.0, 29.0
9.0, 33.0
8.0, 32.0
19.0, 29.0
20.0, 32.0
10.0, 32.0
14.0, 34.0
6.0, 33.0
17.0, 31.0
9.0, 31.0
6.0, 33.0
11.0, 39.0
14.0, 28.0
17.0, 27.0
17.0, 33.0
8.0, 34.0
20.0, 29.0
25.0, 32.0
16.0, 29.0
14.0, 31.0
15.0, 31.0
21.0, 31.0
22.0, 29.0
11.0, 30.0
10.0, 32.0
10.0, 33.0
19.0, 33.0
10.0, 34.0
12.0, 31.0
10.0, 33.0
13.0, 31.0
10.0, 33.0
21.0, 27.0
12.0, 33.0
9.0, 34.0
10.0, 33.0
13.0, 31.0
10.0, 34.0
10.0, 31.0
9.0, 31.0
10.0, 34.0
12.0, 33.0
14.0, 34.0
10.0, 29.0
7.0, 34.0
18.0, 30.0
10.0, 32.0
14.0, 27.0
16.0, 31.0
17.0, 30.0
13.0, 30.0
11.0, 32.0
11.0, 32.0
15.0, 28.0
11.0, 33.0
19.0, 31.0
8.0, 33.0
18.0, 34.0
8.0, 34.0
14.0, 31.0
13.0, 32.0
13.0, 31.0
20.0, 31.0
14.0, 31.0
15.0, 30.0
12.0, 29.0
21.0, 30.0
10.0, 34.0
10.0, 34.0
14.0, 26.0
20.0, 29.0
13.0, 33.0
16.0, 30.0
15.0, 29.0
5.0, 33.0
10.0, 33.0
13.0, 30.0
12.0, 31.0
13.0, 32.0
11.0, 34.0
7.0, 35.0
14.0, 32.0
13.0, 32.0
10.0, 32.0
12.0, 32.0
7.0, 35.0
10.0, 30.0
4.0, 34.0
14.0, 31.0
22.0, 39.0
9.0, 32.0
12.0, 32.0
12.0, 33.0
13.0, 32.0
13.0, 32.0
6.0, 34.0
7.0, 35.0
13.0, 32.0
15.0, 33.0
10.0, 33.0
21.0, 25.0
20.0, 24.0
9.0, 31.0
17.0, 30.0
15.0, 30.0
13.0, 33.0
13.0, 29.0
8.0, 35.0
14.0, 33.0
16.0, 32.0
17.0, 27.0
7.0, 34.0
12.0, 29.0
10.0, 32.0
13.0, 30.0
8.0, 32.0
10.0, 33.0
14.0, 32.0
14.0, 31.0
10.0, 35.0
14.0, 32.0
14.0, 31.0
13.0, 32.0
13.0, 32.0
9.0, 34.0
15.0, 33.0
14.0, 30.0
11.0, 34.0
15.0, 33.0
16.0, 30.0
12.0, 33.0
19.0, 28.0
20.0, 27.0
18.0, 34.0
9.0, 31.0
10.0, 33.0
7.0, 34.0
13.0, 32.0
6.0, 36.0
12.0, 32.0
17.0, 28.0
14.0, 33.0
11.0, 33.0
12.0, 31.0
21.0, 31.0
12.0, 32.0
11.0, 38.0
10.0, 35.0
19.0, 31.0
7.0, 35.0
9.0, 35.0
8.0, 35.0
16.0, 29.0
12.0, 30.0
19.0, 30.0
13.0, 34.0
10.0, 33.0
10.0, 33.0
10.0, 33.0
22.0, 30.0
13.0, 31.0
12.0, 33.0
10.0, 33.0
14.0, 29.0
8.0, 34.0
17.0, 27.0
8.0, 35.0
13.0, 32.0
12.0, 32.0
6.0, 34.0
23.0, 23.0
9.0, 34.0
13.0, 33.0
13.0, 34.0
12.0, 34.0
13.0, 32.0
15.0, 33.0
8.0, 33.0
13.0, 33.0
27.0, 39.0
24.0, 39.0
22.0, 29.0
14.0, 31.0
9.0, 34.0
11.0, 32.0
10.0, 29.0
14.0, 32.0
6.0, 35.0
8.0, 33.0
22.0, 39.0
15.0, 32.0
23.0, 29.0
14.0, 33.0
14.0, 30.0
12.0, 34.0
10.0, 31.0
15.0, 30.0
18.0, 26.0
11.0, 35.0
13.0, 32.0
13.0, 33.0
18.0, 31.0
14.0, 31.0
16.0, 29.0
13.0, 29.0
22.0, 39.0
8.0, 33.0
19.0, 33.0
18.0, 29.0
16.0, 30.0
17.0, 29.0
19.0, 29.0
11.0, 33.0
9.0, 36.0
14.0, 32.0
15.0, 29.0
15.0, 30.0
8.0, 35.0
13.0, 32.0
10.0, 34.0
13.0, 31.0
8.0, 36.0
19.0, 29.0
22.0, 28.0
20.0, 31.0
12.0, 30.0
11.0, 32.0
17.0, 31.0
13.0, 31.0
11.0, 34.0
6.0, 35.0
17.0, 27.0
15.0, 32.0
21.0, 31.0
9.0, 31.0
10.0, 31.0
14.0, 32.0
10.0, 32.0
7.0, 34.0
19.0, 23.0
22.0, 39.0
12.0, 32.0
14.0, 34.0
10.0, 32.0
14.0, 32.0
10.0, 35.0
6.0, 35.0
23.0, 39.0
11.0, 35.0
11.0, 30.0
14.0, 30.0
16.0, 30.0
12.0, 34.0
11.0, 35.0
10.0, 32.0
11.0, 36.0
18.0, 39.0
8.0, 34.0
10.0, 32.0
22.0, 29.0
18.0, 33.0
12.0, 28.0
17.0, 32.0
13.0, 31.0
24.0, 29.0
17.0, 30.0
8.0, 33.0
9.0, 33.0
12.0, 29.0
23.0, 26.0
11.0, 33.0
10.0, 31.0
12.0, 30.0
11.0, 30.0
17.0, 29.0
17.0, 34.0
16.0, 32.0
13.0, 32.0
13.0, 28.0
13.0, 33.0
11.0, 32.0
8.0, 33.0
23.0, 39.0
14.0, 29.0
16.0, 29.0
19.0, 31.0
12.0, 30.0
14.0, 33.0
10.0, 31.0
9.0, 31.0
13.0, 34.0
8.0, 31.0
11.0, 36.0
12.0, 33.0
7.0, 33.0
13.0, 30.0
13.0, 32.0
16.0, 30.0
6.0, 33.0
10.0, 34.0
7.0, 35.0
11.0, 34.0
11.0, 33.0
11.0, 34.0
15.0, 32.0
11.0, 34.0
16.0, 32.0
9.0, 33.0
23.0, 39.0
21.0, 30.0
11.0, 32.0
14.0, 31.0
14.0, 30.0
15.0, 31.0
13.0, 30.0
8.0, 34.0
10.0, 33.0
28.0, 39.0
15.0, 32.0
9.0, 34.0
14.0, 31.0
8.0, 35.0
10.0, 29.0
24.0, 28.0
13.0, 33.0
4.0, 33.0
10.0, 32.0
9.0, 34.0
8.0, 31.0
17.0, 31.0
16.0, 30.0
19.0, 22.0
14.0, 30.0
13.0, 31.0
14.0, 34.0
12.0, 30.0
7.0, 33.0
14.0, 31.0
13.0, 31.0
12.0, 34.0
11.0, 33.0
13.0, 33.0
11.0, 32.0
7.0, 34.0
11.0, 32.0
13.0, 33.0
10.0, 32.0
9.0, 33.0
14.0, 30.0
11.0, 31.0
20.0, 33.0
17.0, 30.0
7.0, 35.0
8.0, 33.0
20.0, 28.0
22.0, 27.0
10.0, 31.0
13.0, 29.0
19.0, 29.0
6.0, 33.0
14.0, 34.0
15.0, 29.0
15.0, 33.0
14.0, 29.0
17.0, 32.0
15.0, 31.0
10.0, 32.0
14.0, 32.0
14.0, 31.0
10.0, 33.0
21.0, 26.0
13.0, 34.0
16.0, 31.0
21.0, 29.0
11.0, 33.0
11.0, 33.0
12.0, 33.0
11.0, 30.0
8.0, 35.0
14.0, 36.0
11.0, 33.0
8.0, 35.0
12.0, 34.0
10.0, 35.0
12.0, 30.0
13.0, 32.0
12.0, 32.0
7.0, 34.0
11.0, 35.0
15.0, 33.0
10.0, 34.0
17.0, 29.0
15.0, 31.0
9.0, 34.0
10.0, 34.0
8.0, 33.0
12.0, 33.0
11.0, 34.0
12.0, 34.0
8.0, 33.0
18.0, 34.0
11.0, 33.0
18.0, 25.0
12.0, 30.0
16.0, 29.0
22.0, 32.0
9.0, 33.0
7.0, 33.0
21.0, 39.0
26.0, 31.0
10.0, 33.0
6.0, 33.0
15.0, 28.0
10.0, 31.0
